#v4	V5	V4	out	I(V6)
2.030000000000063e+000	5.000000e+000	2.030000e+000	1.201144e-002	-2.438282e-004
2.020000000000064e+000	5.000000e+000	2.020000e+000	1.537657e-002	-2.966726e-004
2.010000000000064e+000	5.000000e+000	2.010000e+000	1.943832e-002	-3.544580e-004
2.000000000000064e+000	5.000000e+000	2.000000e+000	2.437539e-002	-4.171256e-004
1.990000000000064e+000	5.000000e+000	1.990000e+000	3.045883e-002	-4.846173e-004
1.980000000000064e+000	5.000000e+000	1.980000e+000	3.813290e-002	-5.568745e-004
1.970000000000064e+000	5.000000e+000	1.970000e+000	4.821655e-002	-6.338375e-004
1.960000000000064e+000	5.000000e+000	1.960000e+000	6.267235e-002	-7.154410e-004
1.950000000000064e+000	5.000000e+000	1.950000e+000	8.885080e-002	-8.015896e-004
1.940000000000064e+000	5.000000e+000	1.940000e+000	4.878136e+000	-7.543618e-004
1.930000000000064e+000	5.000000e+000	1.930000e+000	4.917809e+000	-6.347693e-004
1.920000000000064e+000	5.000000e+000	1.920000e+000	4.938802e+000	-5.247163e-004
1.910000000000064e+000	5.000000e+000	1.910000e+000	4.953923e+000	-4.244197e-004
1.900000000000064e+000	5.000000e+000	1.900000e+000	4.966182e+000	-3.341042e-004
1.890000000000064e+000	5.000000e+000	1.890000e+000	4.975794e+000	-2.540032e-004
1.880000000000064e+000	5.000000e+000	1.880000e+000	4.983320e+000	-1.843597e-004
1.870000000000064e+000	5.000000e+000	1.870000e+000	4.989159e+000	-1.254258e-004
1.860000000000064e+000	5.000000e+000	1.860000e+000	4.993572e+000	-7.746429e-005
